Date,EFA,GLD,IWM,QQQ,SPY,TLT
2019-02-20,51.8231086730957,126.4800033569336,143.7359161376953,164.64381408691406,249.7016143798828,99.49938201904297
2019-02-21,51.7179069519043,125.05000305175781,143.18800354003906,164.04168701171875,248.8136444091797,98.6099624633789
2019-02-22,51.88785934448242,125.5,144.42999267578125,165.25552368164062,250.3563232421875,99.19745635986328
2019-02-25,52.04159927368164,125.37000274658203,144.4665069580078,165.85775756835938,250.69711303710938,98.9037094116211
2019-02-26,52.2924690246582,125.58000183105469,143.47108459472656,166.02981567382812,250.51783752441406,99.39332580566406
2019-02-27,52.08206558227539,124.69000244140625,143.6719970703125,165.9246368408203,250.4100799560547,98.26725769042969
2019-02-28,52.00923156738281,123.98999786376953,143.17886352539062,165.5423126220703,249.9437255859375,97.93272399902344
2019-03-01,52.2924690246582,121.87999725341797,144.51220703125,166.68930053710938,251.5043182373047,97.0275650024414
2019-03-04,52.09824752807617,121.55999755859375,143.20623779296875,166.718017578125,250.5894317626953,97.78797912597656
2019-03-05,52.14680480957031,121.72000122070312,142.53958129882812,166.84228515625,250.2487030029297,97.99241638183594
2019-03-06,52.017330169677734,121.61000061035156,139.7450714111328,165.89598083496094,248.73291015625,98.3521957397461
2019-03-07,51.353759765625,121.51000213623047,138.52127075195312,163.8600311279297,246.65206909179688,98.98999786376953
2019-03-08,51.36185073852539,122.83999633789062,138.48475646972656,163.6114959716797,246.15887451171875,99.40702056884766
2019-03-11,51.80692672729492,122.23999786376953,140.9049072265625,167.01429748535156,249.72845458984375,99.11261749267578
2019-03-12,51.774559020996094,122.9800033569336,140.9779510498047,167.9319305419922,250.67022705078125,99.80770111083984
2019-03-13,52.21963882446289,123.83999633789062,141.53501892089844,169.193603515625,252.3294677734375,99.61959075927734
2019-03-14,52.211544036865234,122.41000366210938,140.9596710205078,168.90687561035156,252.1680908203125,98.9000473022461
